-0.224243	0.264808	-0.122596	0.249941	0.191223	-0.042016	-0.038699	0.459187	0.162583	-0.047530	-0.173735	0.316143	-0.064566	0.091535	0.086525	0.052491	-0.290574	0.044271	-0.223439	-0.171350	-0.226225	-0.139022	-0.318819	0.148551	0.269957	-0.079496	0.294800	-0.351032	-0.189877	0.017779	-0.003568	-0.219164	-0.037544	0.169612	0.082521	-0.323391	-0.005182	-0.324671	-0.297002	0.377017	-0.147045	-0.055832	0.151101	0.032005	-0.054635	-0.142396	0.031252	0.237607	-0.098714	-0.098472	0.083450	0.168712	0.009446	-0.161690	0.049005	-0.304977	-0.036957	-0.416493	0.010448	-0.049967	0.092141	-0.075859	0.073354	0.158435	-0.043647	-0.448830	0.043155	0.095386	-0.352565	-0.040934	0.022889	-0.305477	-0.112698	0.105242	-0.011942	-0.196464	-0.212907	0.051896	0.160127	0.071510	0.133570	-0.028769	-0.102136	0.287518	-0.139503	0.130852	-0.125740	-0.272153	0.142101	-0.334552	0.005956	0.288845	0.194468	-0.275221	0.263684	0.322269	-0.211416	0.197631	0.153353	0.020476
0.172420	0.513763	-0.252369	0.080413	-0.204392	0.256432	0.564691	1.026506	0.097452	0.137925	-0.751969	0.288485	-0.379985	0.511442	-0.210941	0.106173	-0.019653	-0.724645	-1.000100	-0.435361	-0.235267	-0.344792	-0.567380	0.650019	0.553414	-0.308068	-0.420454	0.223833	0.279201	0.110931	-0.007088	-0.392759	-0.572319	0.022830	-0.533857	0.175296	0.179736	-0.624452	0.058771	0.263878	-0.192696	0.138359	0.403357	-0.035164	0.006157	-0.234878	0.361223	0.162446	0.226831	-0.218643	-0.030467	-0.519221	-0.383907	0.151667	0.048211	-0.017647	0.206941	-0.685120	0.161790	-0.208503	-0.658368	0.240471	-0.024258	0.142848	0.181573	0.459295	0.115632	0.230242	-0.669627	-0.446722	-0.067785	0.695636	0.397078	0.034038	-0.158360	-0.285267	-0.680581	0.290932	-0.429626	-0.060418	-0.056826	0.111255	-0.056130	-0.394413	0.145083	0.687999	-0.163400	0.085680	-0.495068	-0.062201	-0.328231	0.016362	-0.062801	-0.288139	0.144247	0.284301	-0.863421	0.267813	-0.320346	0.324742
-0.043626	0.224078	0.106765	0.073450	-0.061342	0.050806	0.025915	0.290110	0.052466	0.024738	-0.175276	0.217704	0.039680	0.060237	0.100125	-0.048951	0.031200	0.157703	-0.085250	-0.004190	-0.121582	0.321671	-0.213958	-0.070889	0.041538	-0.021808	-0.131139	-0.190094	0.039552	0.207713	0.125468	-0.364433	-0.267674	-0.046747	-0.142051	-0.144942	0.181768	-0.482453	-0.076679	0.175982	-0.356089	0.090495	0.217049	0.125024	-0.221372	0.110950	-0.245694	0.119534	-0.137081	-0.441536	0.091166	-0.007254	-0.216081	0.032104	-0.073850	-0.429603	-0.100035	0.014870	0.093223	0.163632	0.312166	0.126179	-0.344156	0.044390	0.296343	0.122598	-0.117813	0.130345	-0.223631	0.153331	-0.077700	-0.222849	-0.133244	-0.231968	-0.117557	0.033092	0.048551	0.060325	-0.008876	0.263812	-0.196967	-0.293315	-0.389778	0.177045	-0.098329	0.039938	-0.415301	-0.287223	0.627414	-0.411704	0.214956	0.569084	0.025194	-0.108209	0.249161	0.135356	-0.323582	0.116501	0.290698	0.048777
-0.102836	0.256890	0.183256	0.222151	-0.286260	-0.027748	0.122403	0.621489	0.008174	0.030989	0.243341	0.671288	-0.374017	-0.256167	-0.046481	0.245742	-0.494613	-0.238104	-0.372500	-0.451763	-0.004789	-0.167717	0.095962	0.572803	-0.321614	-0.026297	-0.089550	-0.161372	0.289015	-0.231858	-0.082243	-0.667749	-0.218245	0.321178	-0.165568	-0.375381	-0.009113	-0.547751	0.100158	0.556077	-0.312612	-0.336949	-0.343682	-0.087728	0.432129	-0.129154	-0.147162	-0.133350	-0.198559	-0.156937	-0.370690	-0.238290	-0.117089	-0.164200	-0.001946	0.284676	-0.100667	0.397934	0.128901	-0.064712	0.435607	0.073315	-0.195053	0.226608	-0.034278	0.378177	0.377997	0.272352	0.185948	-0.557480	0.435136	-0.468617	0.288681	0.126348	-0.220966	0.283753	0.470926	-0.049180	0.197600	-0.204896	-0.044262	-0.494580	-0.527283	0.755045	0.207290	0.007506	-0.065321	0.042276	0.509320	-0.225262	0.328997	0.066257	0.164165	-0.331505	0.423893	0.147393	-0.530983	-0.143139	0.054942	0.208653
-0.289197	0.094420	-0.287013	0.377906	0.846482	0.118909	0.251593	0.123134	-0.168839	-0.047945	-0.058934	0.450297	-0.176055	0.070018	-0.036261	-0.168012	0.113777	-0.144339	-0.058126	-0.195799	-0.062415	0.438669	-0.069991	0.290374	-0.170676	0.081147	0.301502	-0.484483	-0.311078	-0.095713	0.295395	-0.282183	-0.427074	-0.066501	-0.239369	-0.141159	-0.090065	-0.068993	0.304737	0.351596	0.139699	-0.102539	0.027043	0.155675	0.421060	-0.023952	0.322027	0.234977	-0.282441	-0.071969	-0.058823	0.012959	-0.319352	-0.123756	-0.004033	-0.117815	-0.029063	-0.377787	0.503940	0.099313	0.179978	0.302478	-0.006025	0.257395	-0.334393	-0.085600	0.166764	0.223581	-0.344172	0.011875	0.654763	0.064470	-0.077558	-0.263589	-0.103508	0.161577	-0.016101	0.327475	0.134797	0.090575	0.293068	-0.107218	-0.382757	0.458652	-0.271253	0.296725	-0.177355	-0.307282	0.755686	-0.200911	-0.135842	0.174290	0.140348	-0.567661	0.263294	0.536859	-0.432223	0.090768	-0.355681	0.114389
-0.082796	0.504073	-0.174909	0.311890	-0.111136	0.411640	0.076989	0.520925	-0.698398	0.149118	-0.295596	0.052531	-0.278573	0.083522	0.040778	0.070939	-0.408081	0.380477	-0.098119	-0.093227	0.120229	0.034206	-0.203851	0.419000	-0.118617	-0.125660	0.042826	-0.271164	0.243611	0.184074	-0.219276	-0.292516	-0.183367	0.492615	-0.273322	-0.045141	-0.356436	-0.104780	-0.152378	0.145543	-0.279762	0.165330	-0.121714	0.064065	0.066710	-0.020409	-0.551392	0.063250	0.000516	-0.097539	-0.279152	0.117597	0.144375	-0.176885	0.452247	-0.020177	-0.012020	-0.177041	-0.192306	-0.101603	-0.193861	-0.230841	0.321169	0.086029	-0.276675	-0.145728	0.376534	-0.010418	-0.359418	-0.012024	-0.053391	-0.322972	-0.383024	-0.181236	0.034832	-0.111615	0.025633	0.130655	0.152780	0.221798	0.179372	-0.643804	-0.382464	0.476948	-0.067478	-0.029696	-0.391668	-0.126708	0.303762	0.045044	0.116830	0.483112	-0.165514	-0.412063	0.187016	0.360177	-0.314445	-0.123838	0.117260	0.391712
-0.237249	0.237353	-0.011021	0.190638	-0.117132	0.448666	0.204219	0.401755	-0.311411	0.225501	-0.489558	0.209906	-0.096768	0.221285	0.079709	0.150218	-0.380591	0.211457	-0.066090	-0.015626	0.225410	0.139459	-0.040413	0.106400	-0.228352	-0.323454	0.072058	-0.305512	0.348699	0.503496	-0.163398	-0.013565	-0.208900	0.463097	-0.385732	-0.121988	-0.285205	-0.077382	0.048497	-0.003950	-0.319951	0.264021	0.000313	0.033384	-0.027522	-0.025343	-0.372174	0.005887	0.016292	-0.262456	-0.164928	-0.056557	0.055221	-0.144432	0.382441	-0.063630	-0.146194	0.077801	0.039951	-0.058719	-0.139666	-0.068874	0.004390	-0.153963	-0.062102	0.016182	0.329833	-0.000285	-0.609045	-0.251263	-0.288441	-0.422023	-0.334436	-0.327051	-0.286804	-0.039662	0.176466	0.210312	0.115366	0.125219	0.095998	-0.367847	-0.510704	0.576522	0.076122	0.063753	-0.430411	-0.075703	0.467889	0.199516	0.208604	0.555064	-0.154306	-0.257438	0.243599	0.273957	-0.405993	-0.016885	0.055202	0.064528
-0.146556	0.059626	-0.376550	-0.025878	0.067268	0.162965	-0.200502	0.321601	0.122534	-0.197531	-0.494357	0.220519	-0.452575	0.161571	-0.308926	0.197077	0.065754	0.042811	-0.093258	0.096414	-0.290163	-0.067654	0.163186	0.105089	0.410949	0.073302	-0.236838	-0.592443	0.004360	-0.125937	-0.349552	0.193723	-0.327110	-0.234571	-0.026924	-0.509450	0.312181	-0.352786	-0.083538	0.187495	-0.059109	0.180000	-0.036632	-0.434635	0.049466	0.423519	-0.124023	0.371796	0.214716	-0.286067	-0.012093	0.195486	0.395594	0.190058	-0.047488	-0.042325	0.002650	-0.353915	0.158050	0.094166	0.278938	-0.065832	0.340213	0.080456	0.055675	-0.194437	0.487898	0.106972	-0.173069	0.128427	-0.112269	-0.251351	-0.448287	-0.226921	0.197529	0.392045	-0.179416	-0.014141	-0.254962	0.280222	-0.257049	-0.047594	-0.394148	0.234498	0.155110	0.231945	-0.272116	-0.429764	0.437356	0.116125	-0.125632	0.419690	0.090871	-0.281463	0.313878	-0.345978	-0.179785	-0.156207	0.294007	0.432209
-0.390071	0.375091	-0.390559	0.225487	-0.395058	-0.153445	-0.084215	0.376627	-0.140838	0.306028	-0.436313	0.156384	-0.341342	0.238041	-0.117028	0.431433	-0.276108	-0.077077	-0.186964	-0.087289	-0.353704	0.284590	-0.006481	-0.038523	0.006932	-0.061353	-0.052953	-0.323318	-0.409283	-0.274150	-0.118057	-0.211158	0.028003	-0.030300	-0.491692	-0.556003	0.107123	-0.269868	0.225491	0.020412	-0.562140	-0.124224	-0.082070	-0.262071	-0.097134	0.042798	-0.337932	-0.430738	0.060315	0.059750	-0.176336	-0.182732	0.021794	-0.263219	0.529986	-0.123939	-0.185143	-0.224565	-0.156030	-0.235870	0.351379	-0.178380	0.410331	0.159770	-0.116039	0.362907	0.370383	0.529698	-0.175694	-0.225251	0.074563	-0.559653	-0.094085	-0.056679	-0.134993	-0.163651	0.244611	-0.136584	-0.124728	0.009423	0.042910	-0.242399	-0.456269	0.781165	0.100342	0.368958	0.000104	-0.134925	0.534432	0.035296	0.440749	0.726239	-0.009768	-0.302945	0.074572	0.345100	-0.441542	-0.166317	0.134084	-0.096495
0.136541	0.505812	-0.555603	0.302173	0.573461	-0.004675	-0.066339	0.438149	-0.141069	-0.132086	-0.039621	-0.061089	-0.264477	0.036988	-0.188598	0.203166	0.150006	0.331320	-0.566568	-0.456876	0.278041	-0.053086	0.238108	0.317583	-0.071867	-0.464514	0.274278	-0.514079	0.325641	-0.200043	-0.018652	-0.076078	0.061616	-0.005054	0.002118	0.378189	0.001893	-0.318379	0.098919	0.276678	-0.397435	-0.148540	0.210007	-0.055418	0.263822	-0.002208	-0.441639	-0.395975	-0.360201	-0.158142	0.042802	0.010102	-0.023446	0.205218	-0.139773	0.074350	-0.113903	-0.187481	-0.199210	0.169042	-0.089606	-0.567167	-0.077441	0.159207	0.243153	-0.109055	-0.006673	0.158502	0.010767	-0.288037	-0.061128	-0.455446	0.051380	-0.397219	-0.072554	-0.049508	-0.222351	-0.148374	-0.613465	0.312991	-0.272837	-0.328614	-1.037727	0.025103	-0.199503	0.012083	0.007787	-0.453860	0.307074	-0.133524	0.102448	0.345843	0.151266	-0.523237	0.489951	-0.017851	-0.174141	-0.412565	0.426940	0.455616
